dtRef;idCustomer;Name;qtdeRecencia;freqDias;freqTransacoes;qtdListaPresença;qtdChatMessage;qtdTrocaPontos;qtdResgatarPonei;qtdPresençaStreak;pctListaPresença;pctChatMessage;pctTrocaPontos;pctResgatarPonei;pctPresençaStreak;qtdePontosGanhos;qtdePontosGastos;qtdePontosSaldo;avgRecorrencia;flActive
2024-04-03;0262b6a5-db4c-49ba-b139-86fc3cb6278f;thicosfer;28.0;1;1;1;0;0;0;0;1.0;0.0;0.0;0.0;0.0;50;0;50;;0
2024-04-22;0287cd05-1efe-4ad9-b235-ea17e5f8ef9c;erodamermaid;3.0;5;37;4;33;0;0;0;0.10810810810810811;0.8918918918918919;0.0;0.0;0.0;233;0;233;1.0;0
2024-04-23;0287cd05-1efe-4ad9-b235-ea17e5f8ef9c;erodamermaid;4.0;5;37;4;33;0;0;0;0.10810810810810811;0.8918918918918919;0.0;0.0;0.0;233;0;233;1.0;0
2024-03-08;02adccd0-1559-4f7d-bc92-02ec73e68773;maadzin;14.0;2;3;2;1;0;0;0;0.6666666666666666;0.3333333333333333;0.0;0.0;0.0;101;0;101;1.0;1
2024-04-01;02adccd0-1559-4f7d-bc92-02ec73e68773;maadzin;19.0;1;1;0;1;0;0;0;0.0;1.0;0.0;0.0;0.0;1;0;1;;0
2024-03-07;0368a5c3-bc5d-45f2-b8a0-07e74ea1574f;levy957;3.0;3;10;0;10;0;0;0;0.0;1.0;0.0;0.0;0.0;10;0;10;12.0;1
2024-03-14;0368a5c3-bc5d-45f2-b8a0-07e74ea1574f;levy957;1.0;4;84;2;82;0;0;0;0.023809523809523808;0.9761904761904762;0.0;0.0;0.0;182;0;182;7.333333333333333;1
2024-03-26;039371da-962c-453b-b9d9-20859d426458;fatebringer_br;27.0;2;2;2;0;0;0;0;1.0;0.0;0.0;0.0;0.0;100;0;100;2.0;0
2024-03-28;039371da-962c-453b-b9d9-20859d426458;fatebringer_br;29.0;1;1;1;0;0;0;0;1.0;0.0;0.0;0.0;0.0;50;0;50;;0
2024-03-25;03d75a45-0b36-4fd7-a84e-7b36912f1998;spacca_de_cabelo;11.0;3;8;0;8;0;0;0;0.0;1.0;0.0;0.0;0.0;8;0;8;8.5;0
2024-04-05;03d75a45-0b36-4fd7-a84e-7b36912f1998;spacca_de_cabelo;22.0;2;7;0;7;0;0;0;0.0;1.0;0.0;0.0;0.0;7;0;7;7.0;0
2024-04-14;042fa213-0c29-487c-8600-799e09551991;alukard_jp;19.0;2;18;2;16;0;0;0;0.1111111111111111;0.8888888888888888;0.0;0.0;0.0;116;0;116;1.0;0
2024-04-16;042fa213-0c29-487c-8600-799e09551991;alukard_jp;21.0;2;18;2;16;0;0;0;0.1111111111111111;0.8888888888888888;0.0;0.0;0.0;116;0;116;1.0;0
2024-03-14;044e95f2-8756-42bd-a0a3-d50708beb8da;leokirian;1.0;21;237;21;207;3;3;3;0.08860759493670886;0.8734177215189873;0.012658227848101266;0.012658227848101266;0.012658227848101266;3057;-3000;57;1.4;1
2024-03-17;044e95f2-8756-42bd-a0a3-d50708beb8da;leokirian;2.0;20;204;20;176;2;2;4;0.09803921568627451;0.8627450980392157;0.00980392156862745;0.00980392156862745;0.0196078431372549;2576;-2000;576;1.3157894736842106;1
2024-03-06;048f3edb-eeec-4105-8849-0d7f21013add;luck_saints;2.0;4;31;2;29;0;0;0;0.06451612903225806;0.9354838709677419;0.0;0.0;0.0;129;0;129;9.0;1
2024-04-07;048f3edb-eeec-4105-8849-0d7f21013add;luck_saints;19.0;7;57;6;50;0;0;1;0.10526315789473684;0.8771929824561403;0.0;0.0;0.017543859649122806;450;0;450;1.3333333333333333;0
2024-03-06;04b34e7c-926f-45a6-a521-bfb4631f7bc6;matzmarcelo;9.0;1;5;0;5;0;0;0;0.0;1.0;0.0;0.0;0.0;5;0;5;;0
2024-03-14;04b34e7c-926f-45a6-a521-bfb4631f7bc6;matzmarcelo;17.0;1;5;0;5;0;0;0;0.0;1.0;0.0;0.0;0.0;5;0;5;;0
2024-03-01;04c0099a-17fc-4535-88c0-36251c16b582;fleups;25.0;1;8;1;7;0;0;0;0.125;0.875;0.0;0.0;0.0;57;0;57;;0
2024-03-03;04c0099a-17fc-4535-88c0-36251c16b582;fleups;27.0;1;8;1;7;0;0;0;0.125;0.875;0.0;0.0;0.0;57;0;57;;0
2024-04-06;04ebbfc3-0ac0-45fe-84bc-f4aa07ab46aa;miguellinsbr;1.0;6;18;5;13;0;0;0;0.2777777777777778;0.7222222222222222;0.0;0.0;0.0;263;0;263;5.0;1
2024-04-10;04ebbfc3-0ac0-45fe-84bc-f4aa07ab46aa;miguellinsbr;5.0;5;17;4;13;0;0;0;0.23529411764705882;0.7647058823529411;0.0;0.0;0.0;213;0;213;6.0;1
2024-04-17;05150214-b94e-437e-8a48-de7426c9b084;otaneeer;2.0;1;1;1;0;0;0;0;1.0;0.0;0.0;0.0;0.0;50;0;50;;0
2024-04-21;05150214-b94e-437e-8a48-de7426c9b084;otaneeer;4.0;2;4;1;3;0;0;0;0.25;0.75;0.0;0.0;0.0;53;0;53;2.0;0
2024-04-09;053c1321-f73d-4b7c-ab92-bda971ff18a6;viegas_;4.0;8;33;8;25;0;0;0;0.24242424242424243;0.7575757575757576;0.0;0.0;0.0;425;0;425;2.0;1
2024-04-17;053c1321-f73d-4b7c-ab92-bda971ff18a6;viegas_;2.0;13;58;13;45;0;0;0;0.22413793103448276;0.7758620689655172;0.0;0.0;0.0;695;0;695;2.0;1
2024-04-12;053f094b-a813-4417-9bb6-7a3d1737b089;vioninho;4.0;1;5;0;5;0;0;0;0.0;1.0;0.0;0.0;0.0;5;0;5;;0
2024-04-13;053f094b-a813-4417-9bb6-7a3d1737b089;vioninho;5.0;1;5;0;5;0;0;0;0.0;1.0;0.0;0.0;0.0;5;0;5;;0
2024-03-09;05c0957e-eddb-438a-bbb7-a0bcc175e3fc;harynelson;12.0;1;7;1;6;0;0;0;0.14285714285714285;0.8571428571428571;0.0;0.0;0.0;56;0;56;;0
2024-03-24;05c0957e-eddb-438a-bbb7-a0bcc175e3fc;harynelson;27.0;1;7;1;6;0;0;0;0.14285714285714285;0.8571428571428571;0.0;0.0;0.0;56;0;56;;0
2024-04-09;05de679b-9989-4416-9aa4-20c149999c8d;perdidosnoplay;6.0;3;3;3;0;0;0;0;1.0;0.0;0.0;0.0;0.0;150;0;150;11.5;1
2024-04-15;05de679b-9989-4416-9aa4-20c149999c8d;perdidosnoplay;12.0;2;2;2;0;0;0;0;1.0;0.0;0.0;0.0;0.0;100;0;100;9.0;1
2024-03-29;05f3aaf3-6295-4e7a-a76e-4838c653b4f0;santannarc;7.0;1;1;1;0;0;0;0;1.0;0.0;0.0;0.0;0.0;50;0;50;;1
2024-04-05;05f3aaf3-6295-4e7a-a76e-4838c653b4f0;santannarc;14.0;1;1;1;0;0;0;0;1.0;0.0;0.0;0.0;0.0;50;0;50;;1
2024-03-12;05f6c58c-5749-46a6-8aa7-07768c3a6f03;viyusu1297;11.0;1;1;1;0;0;0;0;1.0;0.0;0.0;0.0;0.0;50;0;50;;0
2024-03-14;05f6c58c-5749-46a6-8aa7-07768c3a6f03;viyusu1297;13.0;1;1;1;0;0;0;0;1.0;0.0;0.0;0.0;0.0;50;0;50;;0
2024-04-01;0651419a-7e4e-4331-9399-443bf9597f5c;venyyss;3.0;1;7;1;6;0;0;0;0.14285714285714285;0.8571428571428571;0.0;0.0;0.0;56;0;56;;1
2024-04-22;0651419a-7e4e-4331-9399-443bf9597f5c;venyyss;10.0;3;13;2;11;0;0;0;0.15384615384615385;0.8461538461538461;0.0;0.0;0.0;111;0;111;7.0;1
2024-03-05;065194d3-d70e-4fa1-9035-1808d6e222b3;marcoandremachado;7.0;2;8;2;6;0;0;0;0.25;0.75;0.0;0.0;0.0;106;0;106;1.0;0
2024-03-23;065194d3-d70e-4fa1-9035-1808d6e222b3;marcoandremachado;25.0;2;8;2;6;0;0;0;0.25;0.75;0.0;0.0;0.0;106;0;106;1.0;0
2024-04-12;066c9fc6-f704-4165-a8f3-3d1968b0d4a3;marxzera;2.0;11;20;11;9;0;0;0;0.55;0.45;0.0;0.0;0.0;559;0;559;2.6;1
2024-04-25;066c9fc6-f704-4165-a8f3-3d1968b0d4a3;marxzera;2.0;11;16;11;5;0;0;0;0.6875;0.3125;0.0;0.0;0.0;555;0;555;2.7;1
2024-03-01;0676528b-8214-4832-9f82-0383b61dca07;thiago1souto;25.0;1;5;1;4;0;0;0;0.2;0.8;0.0;0.0;0.0;54;0;54;;0
2024-03-04;0676528b-8214-4832-9f82-0383b61dca07;thiago1souto;28.0;1;5;1;4;0;0;0;0.2;0.8;0.0;0.0;0.0;54;0;54;;0
2024-03-05;06d83d70-52bf-48a6-b35d-79b5357d3dcb;johnny_yamanaka;19.0;5;6;5;1;0;0;0;0.8333333333333334;0.16666666666666666;0.0;0.0;0.0;251;0;251;2.5;0
2024-03-08;06d83d70-52bf-48a6-b35d-79b5357d3dcb;johnny_yamanaka;22.0;3;3;3;0;0;0;0;1.0;0.0;0.0;0.0;0.0;150;0;150;3.5;0
2024-04-01;06dfd571-9e08-490d-a632-83a2def99edf;oddnectary;19.0;1;1;1;0;0;0;0;1.0;0.0;0.0;0.0;0.0;50;0;50;;0
2024-04-04;06dfd571-9e08-490d-a632-83a2def99edf;oddnectary;22.0;1;1;1;0;0;0;0;1.0;0.0;0.0;0.0;0.0;50;0;50;;0
2024-03-31;0705ab51-620a-4093-8771-9e7aaac39e0d;beth0793;18.0;5;5;5;0;0;0;0;1.0;0.0;0.0;0.0;0.0;250;0;250;2.0;0
2024-04-10;0705ab51-620a-4093-8771-9e7aaac39e0d;beth0793;28.0;2;2;2;0;0;0;0;1.0;0.0;0.0;0.0;0.0;100;0;100;1.0;0
2024-03-08;072ee7ee-abbf-4f77-b8ac-8e2c17493d15;itssg4be;11.0;2;2;2;0;0;0;0;1.0;0.0;0.0;0.0;0.0;100;0;100;7.0;0
2024-03-16;072ee7ee-abbf-4f77-b8ac-8e2c17493d15;itssg4be;19.0;2;2;2;0;0;0;0;1.0;0.0;0.0;0.0;0.0;100;0;100;7.0;0
2024-03-08;073306ac-f4b5-4cee-ab79-9c079d891ba0;oliveiramil;11.0;1;1;1;0;0;0;0;1.0;0.0;0.0;0.0;0.0;50;0;50;;0
2024-03-14;073306ac-f4b5-4cee-ab79-9c079d891ba0;oliveiramil;17.0;1;1;1;0;0;0;0;1.0;0.0;0.0;0.0;0.0;50;0;50;;0
2024-03-03;074f10c2-b7a0-4eae-9ec9-aa3bbaf5ee0c;biiluu;10.0;2;5;2;3;0;0;0;0.4;0.6;0.0;0.0;0.0;103;0;103;6.0;1
2024-04-07;074f10c2-b7a0-4eae-9ec9-aa3bbaf5ee0c;biiluu;27.0;1;5;1;4;0;0;0;0.2;0.8;0.0;0.0;0.0;54;0;54;;1
2024-03-05;0783d883-f10d-40d3-885c-5f3dadf8f276;tayloorswitch;28.0;2;2;2;0;0;0;0;1.0;0.0;0.0;0.0;0.0;100;0;100;1.0;0
2024-04-23;0783d883-f10d-40d3-885c-5f3dadf8f276;tayloorswitch;11.0;2;19;0;19;0;0;0;0.0;1.0;0.0;0.0;0.0;19;0;19;4.0;0
2024-03-14;082069f5-d13d-467c-a3ab-234c006d6e95;lucastaz;14.0;2;2;1;1;0;0;0;0.5;0.5;0.0;0.0;0.0;51;0;51;3.0;1
2024-03-22;082069f5-d13d-467c-a3ab-234c006d6e95;lucastaz;6.0;4;16;1;2;2;11;0;0.0625;0.125;0.125;0.6875;0.0;5552;-2000;3552;6.333333333333333;0
2024-03-14;08296e7f-4af4-484e-8b24-ac48889e011b;ai_to_cego;1.0;4;8;2;6;0;0;0;0.25;0.75;0.0;0.0;0.0;106;0;106;5.333333333333333;0
2024-04-22;08296e7f-4af4-484e-8b24-ac48889e011b;ai_to_cego;21.0;1;4;0;4;0;0;0;0.0;1.0;0.0;0.0;0.0;4;0;4;;0
2024-04-05;086bc05e-8aab-41fd-b15c-3d5e46ebefb7;lockon_stratos00;17.0;1;4;1;3;0;0;0;0.25;0.75;0.0;0.0;0.0;53;0;53;;1
2024-04-14;086bc05e-8aab-41fd-b15c-3d5e46ebefb7;lockon_stratos00;26.0;1;4;1;3;0;0;0;0.25;0.75;0.0;0.0;0.0;53;0;53;;1
2024-03-16;087ed7b7-ad98-4b3f-9db5-336226b976d8;codigo100cera;1.0;5;108;5;102;0;0;1;0.046296296296296294;0.9444444444444444;0.0;0.0;0.009259259259259259;452;0;452;1.0;1
2024-03-18;087ed7b7-ad98-4b3f-9db5-336226b976d8;codigo100cera;2.0;6;117;5;111;0;0;1;0.042735042735042736;0.9487179487179487;0.0;0.0;0.008547008547008548;461;0;461;1.0;1
2024-03-29;08a156d5-b75e-4e10-ab2c-3f22fb45f6c3;fenkzebra147;13.0;4;15;3;12;0;0;0;0.2;0.8;0.0;0.0;0.0;162;0;162;1.6666666666666667;0
2024-03-31;08a156d5-b75e-4e10-ab2c-3f22fb45f6c3;fenkzebra147;15.0;4;15;3;12;0;0;0;0.2;0.8;0.0;0.0;0.0;162;0;162;1.6666666666666667;0
2024-04-19;08fd43aa-af91-4d07-8c63-c1648af971f3;udojr;7.0;1;1;1;0;0;0;0;1.0;0.0;0.0;0.0;0.0;50;0;50;;0
2024-04-24;08fd43aa-af91-4d07-8c63-c1648af971f3;udojr;12.0;1;1;1;0;0;0;0;1.0;0.0;0.0;0.0;0.0;50;0;50;;0
2024-03-07;095ee630-7de5-4104-b122-f624078b99b1;soyrox;5.0;2;2;1;1;0;0;0;0.5;0.5;0.0;0.0;0.0;51;0;51;1.0;1
2024-04-23;095ee630-7de5-4104-b122-f624078b99b1;soyrox;15.0;4;9;0;9;0;0;0;0.0;1.0;0.0;0.0;0.0;9;0;9;4.0;0
2024-03-02;0994a81f-9865-4356-9e82-c9e8d2881672;allysonbarrosrn;10.0;1;1;1;0;0;0;0;1.0;0.0;0.0;0.0;0.0;50;0;50;;1
2024-03-16;0994a81f-9865-4356-9e82-c9e8d2881672;allysonbarrosrn;12.0;2;5;2;3;0;0;0;0.4;0.6;0.0;0.0;0.0;103;0;103;12.0;0
2024-03-11;0a36ac7c-408b-4165-a124-fb22bd243998;remadi1809;13.0;1;1;1;0;0;0;0;1.0;0.0;0.0;0.0;0.0;50;0;50;;0
2024-03-21;0a36ac7c-408b-4165-a124-fb22bd243998;remadi1809;23.0;1;1;1;0;0;0;0;1.0;0.0;0.0;0.0;0.0;50;0;50;;0
2024-04-17;0ade65a7-c1b0-4aa5-8ab6-a4ad78028037;laurivansareta;1.0;2;99;2;90;1;6;0;0.020202020202020204;0.9090909090909091;0.010101010101010102;0.06060606060606061;0.0;3190;-1000;2190;4.0;1
2024-04-21;0ade65a7-c1b0-4aa5-8ab6-a4ad78028037;laurivansareta;2.0;5;149;5;137;1;6;0;0.03355704697986577;0.9194630872483222;0.006711409395973154;0.040268456375838924;0.0;3387;-1000;2387;1.75;1
2024-03-05;0af0bdf0-d17a-41bd-b8f6-6b3cef165bd8;durituscabral;15.0;4;21;3;17;0;1;0;0.14285714285714285;0.8095238095238095;0.0;0.047619047619047616;0.0;667;0;667;4.333333333333333;0
2024-03-19;0af0bdf0-d17a-41bd-b8f6-6b3cef165bd8;durituscabral;29.0;1;1;1;0;0;0;0;1.0;0.0;0.0;0.0;0.0;50;0;50;;0
2024-03-10;0b07d3e4-7682-4d66-b418-587b7be8efa4;bsone031;8.0;6;89;5;83;0;0;1;0.056179775280898875;0.9325842696629213;0.0;0.0;0.011235955056179775;433;0;433;1.0;0
2024-03-21;0b07d3e4-7682-4d66-b418-587b7be8efa4;bsone031;19.0;6;89;5;83;0;0;1;0.056179775280898875;0.9325842696629213;0.0;0.0;0.011235955056179775;433;0;433;1.0;0
2024-03-18;0b3fa997-c264-439b-8169-6bb14a4c47de;guguhabbema;7.0;1;1;1;0;0;0;0;1.0;0.0;0.0;0.0;0.0;50;0;50;;0
2024-04-02;0b3fa997-c264-439b-8169-6bb14a4c47de;guguhabbema;22.0;1;1;1;0;0;0;0;1.0;0.0;0.0;0.0;0.0;50;0;50;;0
2024-03-30;0b474011-385e-4990-8106-cdcca66ec3f8;cabralz1;8.0;1;4;1;3;0;0;0;0.25;0.75;0.0;0.0;0.0;53;0;53;;0
2024-03-31;0b474011-385e-4990-8106-cdcca66ec3f8;cabralz1;9.0;1;4;1;3;0;0;0;0.25;0.75;0.0;0.0;0.0;53;0;53;;0
2024-03-05;0b76c105-e036-4cbd-ba70-d334f4fbca81;edsantos2015;4.0;4;4;4;0;0;0;0;1.0;0.0;0.0;0.0;0.0;200;0;200;1.3333333333333333;1
2024-03-13;0b76c105-e036-4cbd-ba70-d334f4fbca81;edsantos2015;2.0;5;5;5;0;0;0;0;1.0;0.0;0.0;0.0;0.0;250;0;250;3.5;0
2024-03-06;0becf997-a205-4d16-8235-c9aebc525c2e;baarrac;12.0;1;1;1;0;0;0;0;1.0;0.0;0.0;0.0;0.0;50;0;50;;1
2024-04-04;0becf997-a205-4d16-8235-c9aebc525c2e;baarrac;3.0;2;3;2;1;0;0;0;0.6666666666666666;0.3333333333333333;0.0;0.0;0.0;101;0;101;21.0;0
2024-04-11;0bedbd0f-25d4-4594-ad7d-46766f4522be;0n1zuk4;6.0;2;3;1;2;0;0;0;0.3333333333333333;0.6666666666666666;0.0;0.0;0.0;52;0;52;3.0;0
2024-04-21;0bedbd0f-25d4-4594-ad7d-46766f4522be;0n1zuk4;16.0;2;3;1;2;0;0;0;0.3333333333333333;0.6666666666666666;0.0;0.0;0.0;52;0;52;3.0;0
2024-03-28;0c19de57-f3fa-4a16-830e-bcb56bb1a190;leandromenezesr;3.0;4;5;4;1;0;0;0;0.8;0.2;0.0;0.0;0.0;201;0;201;4.666666666666667;0
2024-04-09;0c19de57-f3fa-4a16-830e-bcb56bb1a190;leandromenezesr;15.0;4;5;4;1;0;0;0;0.8;0.2;0.0;0.0;0.0;201;0;201;4.666666666666667;0
2024-03-14;0c627c11-de12-420b-98d0-3d15481aa95b;julianamauri;17.0;1;1;0;1;0;0;0;0.0;1.0;0.0;0.0;0.0;1;0;1;;0
2024-03-16;0c627c11-de12-420b-98d0-3d15481aa95b;julianamauri;19.0;1;1;0;1;0;0;0;0.0;1.0;0.0;0.0;0.0;1;0;1;;0
2024-04-17;0c7344e3-9b32-42e2-bdab-b71052aebc98;ygorleao93;2.0;2;6;2;4;0;0;0;0.3333333333333333;0.6666666666666666;0.0;0.0;0.0;104;0;104;3.0;1
2024-04-25;0c7344e3-9b32-42e2-bdab-b71052aebc98;ygorleao93;6.0;4;12;4;8;0;0;0;0.3333333333333333;0.6666666666666666;0.0;0.0;0.0;208;0;208;2.3333333333333335;0
2024-03-11;0cec974f-3aac-4ff3-847e-0d157f367d6e;spectorxzz;18.0;1;1;1;0;0;0;0;1.0;0.0;0.0;0.0;0.0;50;0;50;;0
2024-03-17;0cec974f-3aac-4ff3-847e-0d157f367d6e;spectorxzz;24.0;1;1;1;0;0;0;0;1.0;0.0;0.0;0.0;0.0;50;0;50;;0
2024-04-17;0d786400-6e10-4337-9229-ccb5644f00bd;cluszx;1.0;1;2;1;1;0;0;0;0.5;0.5;0.0;0.0;0.0;51;0;51;;1
2024-04-23;0d786400-6e10-4337-9229-ccb5644f00bd;cluszx;3.0;4;11;1;10;0;0;0;0.09090909090909091;0.9090909090909091;0.0;0.0;0.0;60;0;60;1.3333333333333333;0
2024-03-26;0df5f7e8-851c-4a82-a9d9-5987e6886e2d;havocz_lp;4.0;1;3;1;2;0;0;0;0.3333333333333333;0.6666666666666666;0.0;0.0;0.0;52;0;52;;0
2024-04-11;0df5f7e8-851c-4a82-a9d9-5987e6886e2d;havocz_lp;20.0;1;3;1;2;0;0;0;0.3333333333333333;0.6666666666666666;0.0;0.0;0.0;52;0;52;;0
2024-03-01;0ecd4659-2e4a-4598-8d3c-23148262f4b0;predomiotto;25.0;1;5;1;4;0;0;0;0.2;0.8;0.0;0.0;0.0;54;0;54;;0
2024-03-02;0ecd4659-2e4a-4598-8d3c-23148262f4b0;predomiotto;26.0;1;5;1;4;0;0;0;0.2;0.8;0.0;0.0;0.0;54;0;54;;0
2024-03-18;0ed57b36-63ea-4190-8611-69ee5479d7a6;lfcarvalho1;17.0;3;9;3;6;0;0;0;0.3333333333333333;0.6666666666666666;0.0;0.0;0.0;156;0;156;2.0;0
2024-03-22;0ed57b36-63ea-4190-8611-69ee5479d7a6;lfcarvalho1;21.0;3;9;3;6;0;0;0;0.3333333333333333;0.6666666666666666;0.0;0.0;0.0;156;0;156;2.0;0
2024-03-21;0ed6b09e-4329-4d2a-837b-2aad4796cd3a;x_deathking_x;5.0;8;122;5;116;0;0;1;0.040983606557377046;0.9508196721311475;0.0;0.0;0.00819672131147541;466;0;466;1.7142857142857142;1
2024-04-20;0ed6b09e-4329-4d2a-837b-2aad4796cd3a;x_deathking_x;15.0;2;18;1;17;0;0;0;0.05555555555555555;0.9444444444444444;0.0;0.0;0.0;67;0;67;11.0;0
2024-03-01;0f0a175d-b72a-4347-a0ce-1d8c7c92fb11;bernardocaroli;24.0;1;2;1;1;0;0;0;0.5;0.5;0.0;0.0;0.0;51;0;51;;0
2024-03-03;0f0a175d-b72a-4347-a0ce-1d8c7c92fb11;bernardocaroli;26.0;1;2;1;1;0;0;0;0.5;0.5;0.0;0.0;0.0;51;0;51;;0
2024-03-18;0f744fdd-cb88-4ba5-b32c-7ce351e87c2a;iamrooot;21.0;3;7;3;4;0;0;0;0.42857142857142855;0.5714285714285714;0.0;0.0;0.0;154;0;154;2.5;0
2024-03-22;0f744fdd-cb88-4ba5-b32c-7ce351e87c2a;iamrooot;25.0;2;6;2;4;0;0;0;0.3333333333333333;0.6666666666666666;0.0;0.0;0.0;104;0;104;3.0;0
2024-03-01;0fc14e6b-3320-4686-9064-792a208c1bfb;eduardooalmeida;16.0;1;7;0;7;0;0;0;0.0;1.0;0.0;0.0;0.0;7;0;7;;0
2024-03-10;0fc14e6b-3320-4686-9064-792a208c1bfb;eduardooalmeida;25.0;1;7;0;7;0;0;0;0.0;1.0;0.0;0.0;0.0;7;0;7;;0
2024-04-05;0fc3524f-c21c-494d-bced-66766a2f239a;mrgabrielblins;2.0;3;5;0;5;0;0;0;0.0;1.0;0.0;0.0;0.0;5;0;5;10.5;1
2024-04-11;0fc3524f-c21c-494d-bced-66766a2f239a;mrgabrielblins;8.0;3;5;0;5;0;0;0;0.0;1.0;0.0;0.0;0.0;5;0;5;10.5;1
2024-03-05;0fd197c4-17dd-42be-aaf0-32e4346fec27;lucasprbno;7.0;2;15;1;14;0;0;0;0.06666666666666667;0.9333333333333333;0.0;0.0;0.0;64;0;64;1.0;1
